CHR	POS
1	1149
1	4880
1	6288
1	6413
1	7471
1	34137
1	34141
1	37570
1	44878
1	47656
1	51803
1	54877
1	61778
1	74332
1	77904
1	79339
1	79802
1	80061
1	80822
1	83219
1	116017
1	126058
1	128401
1	131576
1	135725
1	148345
1	148515
1	151639
1	152473
1	152671
1	154455
1	159086
1	162534
1	165700
1	169306
1	171277
1	171766
1	173608
1	186638
1	188837
1	191688
1	193871
1	208861
1	209118
1	211787
1	215739
1	215958
1	227389
1	227661
1	228146
1	229748
1	235182
1	235434
1	238600
1	239259
1	239435
1	240180
1	244102
1	248794
1	251071
1	275117
1	277742
1	282900
1	283155
1	288961
1	291602
1	296094
1	311764
1	316366
1	317037
1	331345
1	331676
1	340981
1	344701
1	351637
1	363042
1	367621
1	373266
1	373639
1	374430
1	378102
1	378370
1	388749
1	408171
1	415468
1	421706
1	424278
1	424359
1	428139
1	443953
1	446944
1	452176
1	453038
1	459276
1	459584
1	465641
1	466271
1	468471
1	477373
1	483173
1	492817
1	505768
1	507751
1	514054
1	526469
1	529226
1	531569
1	531636
1	533831
1	539883
1	542625
1	549568
1	550829
1	554829
1	556782
1	557383
1	558313
1	559161
1	559714
1	565388
1	568771
1	569556
1	569755
1	571844
1	575463
1	576136
1	576488
1	576717
1	585452
1	594124
1	597404
1	598719
1	608198
1	612620
1	613021
1	613315
1	618093
1	619740
1	630048
1	630978
1	631609
1	634215
1	638728
1	642814
1	644952
1	651105
1	652439
1	655087
1	664765
1	667631
1	676064
1	683617
1	691771
1	692870
1	694666
1	697351
1	697460
1	713644
1	724739
1	725203
1	726543
1	729550
1	733726
1	738775
1	741937
1	744602
1	749415
1	759003
1	768122
1	776104
1	777060
1	791598
1	793076
1	796228
1	803321
1	809984
1	815580
1	817927
1	847139
1	847429
1	856031
1	856518
1	856623
1	856838
1	857297
1	860303
1	860926
1	861283
1	880413
1	890448
1	893334
1	909402
1	911226
1	925494
1	925588
1	932094
1	934952
1	938691
1	941669
1	944224
1	944231
1	944319
1	956411
1	959404
1	959724
1	971194
1	974063
1	975544
1	978706
1	982129
1	987476
1	996083
1	1000267
1	1011446
1	1022802
1	1023413
1	1027104
1	1028639
1	1029774
1	1035096
1	1038608
1	1046158
1	1047913
1	1048377
1	1054757
1	1071024
1	1075719
1	1081704
1	1084534
1	1086131
1	1093633
1	1093854
1	1100080
1	1110753
1	1122244
1	1122973
1	1123880
1	1126966
1	1129956
1	1129967
1	1132940
1	1133290
1	1142548
1	1143109
1	1144850
1	1146708
1	1153889
1	1161944
1	1164242
1	1173360
1	1177564
1	1184692
1	1185234
1	1185303
1	1188677
1	1196839
1	1199397
1	1199874
1	1203039
1	1206239
1	1208611
1	1215758
1	1217565
1	1220452
1	1226979
1	1234220
1	1244966
1	1249380
1	1249835
1	1251811
1	1257861
1	1259385
1	1260388
1	1275458
1	1276778
1	1278640
1	1289809
1	1293424
1	1298311
1	1298631
1	1300000
1	1304007
1	1306818
1	1311991
1	1313712
1	1320906
1	1325879
1	1328017
1	1331159
1	1332376
1	1344570
1	1351216
1	1363061
1	1367649
1	1374951
1	1377594
1	1384242
1	1397766
1	1408380
1	1419707
1	1426851
1	1428709
1	1433113
1	1433309
1	1439582
1	1443040
1	1450408
1	1451089
1	1456732
1	1458899
1	1460616
1	1461785
1	1462162
1	1462352
1	1466808
1	1470539
1	1473614
1	1475843
1	1476709
1	1482750
1	1484136
1	1484163
1	1491856
1	1505287
1	1522801
1	1529182
1	1531720
1	1536053
1	1540158
1	1540805
1	1540812
1	1544672
1	1552703
1	1553202
1	1558117
1	1559814
1	1570556
1	1570905
1	1573274
1	1579467
1	1582458
1	1583320
1	1590944
1	1592030
1	1597312
1	1611801
1	1617761
1	1627301
1	1639047
1	1639772
1	1640550
1	1649771
1	1656559
1	1664345
1	1677204
1	1679438
1	1686796
1	1690536
1	1695892
1	1700939
1	1717962
1	1718510
1	1729230
1	1732371
1	1732590
1	1736164
1	1746762
1	1750184
1	1756707
1	1757169
1	1761323
1	1764957
1	1772351
1	1775652
1	1776727
1	1777827
1	1783664
1	1787333
1	1794703
1	1808067
1	1814822
1	1820449
1	1825136
1	1825352
1	1825647
1	1830665
1	1835624
1	1844018
1	1845679
1	1847713
1	1847753
1	1862015
1	1864932
1	1869553
1	1872333
1	1876698
1	1879112
1	1888445
1	1893761
1	1895419
1	1905029
1	1907450
1	1907923
1	1908498
1	1914700
1	1940996
1	1942041
1	1943025
1	1944657
1	1951207
1	1961224
1	1962707
1	1972428
1	1977131
1	2010918
1	2013839
1	2026324
1	2029578
1	2033226
1	2033992
1	2034424
1	2041345
1	2051049
1	2062808
1	2065440
1	2080200
1	2081411
1	2085699
1	2089189
1	2094677
1	2098842
1	2101719
1	2104117
1	2125203
1	2126269
1	2129749
1	2130321
1	2133064
1	2135817
1	2140014
1	2141013
1	2142185
1	2146518
1	2150120
1	2150552
1	2163037
1	2171930
1	2172656
1	2172894
1	2174923
1	2177820
1	2189584
1	2192402
1	2197168
1	2202456
1	2203882
1	2206297
1	2229866
1	2230050
1	2231104
1	2242269
1	2245828
1	2247060
1	2249493
1	2255813
1	2257082
1	2257245
1	2257398
1	2257905
1	2260146
1	2268378
1	2271790
1	2275440
1	2276403
1	2277766
1	2280312
1	2281234
1	2283436
1	2289490
1	2292602
1	2297944
1	2300091
1	2301012
1	2305252
1	2314344
1	2322957
1	2324839
1	2325465
1	2327474
1	2331877
1	2340429
1	2343224
1	2344607
1	2346736
1	2348466
1	2354312
1	2359287
1	2365570
1	2366774
1	2367726
1	2375165
1	2383018
1	2391303
1	2396855
1	2398890
1	2407792
1	2414705
1	2418033
1	2421320
1	2422372
1	2426593
1	2428738
1	2434662
1	2434682
1	2435547
1	2437247
1	2448361
1	2463001
1	2466396
1	2468420
1	2469166
1	2469894
1	2473264
1	2478730
1	2481935
1	2482859
1	2496013
1	2500726
1	2506350
1	2507150
1	2509455
1	2518078
1	2528271
1	2529361
1	2536319
1	2538212
1	2539318
1	2550086
1	2560985
1	2561842
1	2562789
1	2570208
1	2570396
1	2570599
1	2579341
1	2583433
1	2585484
1	2589306
1	2590543
1	2603345
1	2605955
1	2607285
1	2622039
1	2623854
1	2627735
1	2629657
1	2635515
1	2641973
1	2647291
1	2650737
1	2651435
1	2653315
1	2654070
1	2659340
1	2662433
1	2665660
1	2668164
1	2671444
1	2676134
1	2680333
1	2681657
1	2687183
1	2688653
1	2690642
1	2693898
1	2694008
1	2704374
1	2710075
1	2711274
1	2714947
1	2723366
1	2742505
1	2743525
1	2753423
1	2754921
1	2756976
1	2759386
1	2763056
1	2763977
1	2765776
1	2784312
1	2788047
1	2804743
1	2807871
1	2812930
1	2813315
1	2814902
1	2816818
1	2821019
1	2829650
1	2831879
1	2842541
1	2843380
1	2846989
1	2847747
1	2850324
1	2850446
1	2852704
1	2854877
1	2859986
1	2860933
1	2871206
1	2873364
1	2874628
1	2877766
1	2886985
1	2888784
1	2889266
1	2891246
1	2900436
1	2902488
1	2902786
1	2905534
1	2906166
1	2907166
1	2911889
1	2918979
1	2923588
1	2926476
1	2927686
1	2930223
1	2931720
1	2939905
1	2943359
1	2945034
1	2951254
1	2951972
1	2953646
1	2958285
1	2966410
1	2967625
1	2972907
1	2975687
1	2983767
1	2986822
1	2988351
1	2993757
1	3006386
1	3009345
1	3015109
1	3021091
1	3021632
1	3022797
1	3025960
1	3028781
1	3029421
1	3050331
1	3062443
1	3067840
1	3072492
1	3073250
1	3076049
1	3080679
1	3089506
1	3094635
1	3096680
1	3097124
1	3119388
1	3127624
1	3153102
1	3164982
1	3168352
1	3171954
1	3172193
1	3178349
1	3181195
1	3184557
1	3197029
1	3212323
1	3220531
1	3227251
1	3227418
1	3228680
1	3230441
1	3232928
1	3234628
1	3239428
1	3247053
1	3248972
1	3251339
1	3252059
1	3261216
1	3262167
1	3271857
1	3283465
1	3288207
1	3288351
1	3296350
1	3299903
1	3321805
1	3327272
1	3327745
1	3334691
1	3335876
1	3338660
1	3341331
1	3346346
1	3350496
1	3350629
1	3354577
1	3360007
1	3364101
1	3370725
1	3381994
1	3387720
1	3398834
1	3399167
1	3404198
1	3407060
1	3407528
1	3411946
1	3413673
1	3413674
1	3423176
1	3430807
1	3440261
1	3445171
1	3458738
1	3459143
1	3460880
1	3465761
1	3469866
1	3472401
1	3472546
1	3472578
1	3480938
1	3482328
1	3483010
1	3487122
1	3488187
1	3490127
1	3493285
1	3498796
1	3499517
1	3501513
1	3503182
1	3504276
1	3509422
1	3514330
1	3518072
1	3519260
1	3521881
1	3522812
1	3541943
1	3548299
1	3551050
1	3551230
1	3551366
1	3551684
1	3558058
1	3558504
1	3563778
1	3568387
1	3570046
1	3580065
1	3595545
1	3600471
1	3602774
1	3603270
1	3611101
1	3617752
1	3619536
1	3620130
1	3627352
1	3628808
1	3637455
1	3642958
1	3655272
1	3660201
1	3678065
1	3680546
1	3681235
1	3682053
1	3685744
1	3688201
1	3699018
1	3700215
1	3703424
1	3705512
1	3706831
1	3711583
1	3712557
1	3714684
1	3715396
1	3715824
1	3715963
1	3718562
1	3723293
1	3727933
1	3728637
1	3729396
1	3736705
1	3736950
